#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-09-09T16:33:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d767ebcf079	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/131/1559&tab:{J/AJ/131/1559/table1}&key:source=J/AJ/131/1559&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/131/1559/table1
#-order=I
#-out=Seq
#-out=Name
#-out=l
#-out=Diam
#-out=R
#-out=Z
#-out=E(B-V)
#-out=logT
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_51311559
#Name: J/AJ/131/1559
#Title: Diameters of Galactic open star clusters (van den Bergh+, 2006)
#Table	J_AJ_131_1559_table1:
#Name: J/AJ/131/1559/table1
#Title: Diameters of open clusters
#Column	Seq	(I3)	Running cluster number	[ucd=meta.record]
#Column	Name	(a11)	Cluster name	[ucd=meta.id;meta.main]
#Column	l	(I3)	Truncated Galactic longitude	[ucd=pos.galactic.lon]
#Column	Diam	(F5.2)	Cluster diameter	[ucd=pos.distance]
#Column	R	(I5)	Cluster distance from the Sun	[ucd=pos.distance]
#Column	Z	(I5)	Galactic plane scale height (1)	[ucd=instr.scale;pos.galactic]
#Column	E(B-V)	(F5.2)	? The reddening from photoelectric photometry	[ucd=phot.color.excess]
#Column	logT	(F5.2)	? Log of the cluster age (2)	[ucd=time.age]
#Column	SimbadName	(a20)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Computed Right Ascension for Equinox: J2000	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Computed Declination for Equinox: J2000	[ucd=pos.eq.dec;meta.main]
Seq|Name|l[deg]|Diam[pc]|R[pc]|Z[pc]|E(B-V)|logT[yr]|SimbadName|_RA[deg]|_Dec[deg]
226|Berkeley 19|176| 5.62| 4831| -302| 0.40| 9.49|Cl Berkeley 19      |081.02500|+29.60000
227|N2099      |177| 5.63| 1383|   75| 0.30| 8.54|NGC 2099            |088.07917|+32.55333
228|N1758      |179| 1.99|  760| -138| 0.34| 8.60|NGC 1758            |076.10000|+23.78333
229|N1750      |179| 3.67|  630| -117| 0.34| 8.30|NGC 1750            |075.97500|+23.65000
230|Basel 4    |179| 8.25| 5675|  119| 0.53| 7.00|Cl Basel 4          |087.12500|+30.21667
231|Melotte 25 |180| 4.31|   45|  -17| 0.01| 8.90|Cl Melotte 25       |066.72500|+15.86667
232|N1647      |180| 6.28|  540| -156| 0.37| 8.16|NGC 1647            |071.47500|+19.11667
233|Platais 4  |180|16.37|  276|  -52|     | 8.00|Cl Platais 4        |076.84167|+22.27833
234|N1817      |186| 9.18| 1972| -447| 0.33| 8.61|NGC 1817            |078.05000|+16.68333
235|I2157      |186| 2.97| 2040|   45| 0.55| 7.80|IC 2157             |091.25000|+24.00000
236|N2129      |186| 2.20| 1515|    1| 0.65| 7.32|NGC 2129            |090.27500|+23.31667
237|Kharchen. 1|186| 5.13| 2520|   95|     |     |Cl Kharchenko 1     |092.20000|+24.33167
238|N2168      |186| 5.93|  816|   32| 0.26| 7.98|NGC 2168            |092.27500|+24.35000
239|N2158      |186| 7.38| 5071|  158| 0.36| 9.02|NGC 2158            |091.85417|+24.09667
240|Berkeley 21|186| 7.27| 5000| -219| 0.76| 9.34|Cl Berkeley 21      |087.92500|+21.78333
241|Basel 11b  |187| 1.48| 1692|  -33| 0.32| 7.82|Cl Basel 11b        |089.55000|+21.96667
242|N1662      |187| 2.54|  437| -157| 0.30| 8.62|NGC 1662            |072.10000|+10.93333
243|N2266      |187| 4.95| 3400|  608| 0.10| 8.80|NGC 2266            |100.80000|+26.96667
244|N2175      |190| 2.37| 1627|   14| 0.60| 6.95|NGC 2175            |092.42500|+20.50000
245|Berkeley 23|192| 8.05| 6918|  657| 0.40| 8.90|Cl Berkeley 23      |098.36875|+20.54639
246|Collind. 69|195| 8.98|  441|  -92| 0.10| 7.05|Cl Collinder  69    |083.80000|+09.70000
247|N2169      |195| 1.53| 1052|  -54| 0.20| 7.07|NGC 2169            |092.13542|+13.96583
248|N2304      |197| 3.48| 3991|  617| 0.10| 8.90|NGC 2304            |103.75375|+18.02056
249|N2194      |197| 9.90| 3781| -155| 0.38| 8.52|NGC 2194            |093.42667|+12.80167
250|Berkeley 29|197|25.95|14871| 2076| 0.16| 9.02|Cl Berkeley 29      |103.26750|+16.92750
251|N2141      |198|11.73| 4033| -408| 0.25| 9.23|NGC 2141            |090.77500|+10.43333
252|N2420      |198| 4.49| 3085| 1036| 0.03| 9.05|NGC 2420            |114.59583|+21.57333
253|Collind.74 |198| 3.65| 2510| -453| 0.38| 9.11|Cl Collinder 74     |087.12500|+07.40000
254|Berkeley 22|199| 2.23| 7663|-1073| 0.70| 9.03|Cl Berkeley 22      |089.60000|+07.83333
255|N2259      |201| 2.89| 3311|  120| 0.59| 8.50|NGC 2259            |099.64333|+10.89000
256|Trumpler 5 |202|12.22| 3000|   55| 0.58| 9.61|Cl Trumpler 5       |099.17500|+09.43333
257|N2264      |202| 7.57|  667|   26| 0.05| 6.95|NGC 2264            |100.25000|+09.88333
258|N2355      |203| 4.48| 2200|  450| 0.12| 8.85|NGC 2355            |109.25000|+13.78333
259|Berkeley 20|203| 4.89| 8400|-2494| 0.12| 9.78|Cl Berkeley 20      |083.25000|+00.21667
260|N2186      |203| 2.10| 1445| -156| 0.27| 7.74|NGC 2186            |093.02500|+05.46667
261|N2251      |203| 3.87| 1329|    2| 0.19| 8.43|NGC 2251            |098.65000|+08.36667
262|Basel 8    |203|11.20| 1328|   -3| 0.37| 8.01|Cl Basel 8          |098.55000|+08.01667
263|Basel 7    |203| 2.45| 1684|   16| 0.40| 8.03|Cl Basel 7          |099.15000|+08.35000
264|N2254      |204| 3.44| 2364|    2| 0.40| 8.31|NGC 2254            |099.00000|+07.66667
265|N2236      |204| 5.97| 2930|  -87| 0.48| 8.54|NGC 2236            |097.42500|+06.83333
266|N2395      |204| 2.09|  512|  124| 0.12| 9.07|NGC 2395            |111.77500|+13.58333
267|Collind. 70|205|15.76|  387| -115| 0.04| 6.98|Cl Collinder  70    |083.87500|-01.10000
268|Platais 6  |205|25.49|  348|  -38|     | 7.78|Cl Platais 6        |093.85833|+03.84500
269|Collind. 97|205| 4.58|  630|  -19| 0.00| 8.00|Cl Collinder  97    |097.82500|+05.95000
270|N2112      |205| 4.45|  850| -186| 0.63| 9.30|NGC 2112            |088.43750|+00.41000
271|N2632      |205| 3.81|  187|  100| 0.01| 8.86|NGC 2632            |130.10000|+19.68333
272|Berkeley 31|206|12.03| 8272|  738| 0.08| 9.31|Cl Berkeley 31      |104.40000|+08.26667
273|N2244      |206|12.19| 1445|  -52| 0.46| 6.90|NGC 2244            |097.97500|+04.93333
274|Collind.107|207|14.66| 1738|  -27| 0.54| 7.00|Cl Collinder 107    |099.62500|+04.63333
275|N2269      |207| 1.47| 1687|    9| 0.40| 8.42|NGC 2269            |100.82125|+04.62444
276|Berkeley 32|207| 5.41| 3100|  238| 0.16| 9.53|Cl Berkeley 32      |104.52500|+06.43333
277|Collind. 96|207| 3.36|  962|  -57| 0.51| 7.03|Cl Collinder  96    |097.57500|+02.86667
278|vdBergh 1  |208| 2.45| 1687|  -53| 0.71| 8.02|Cl vdBergh-Hagen 1           |110.79167|-29.49667
279|N1976      |209| 5.45|  399| -132| 0.05| 7.11|NGC 1976            |083.82208|-05.39111
280|Collind.110|209|10.21| 1950|  -67| 0.50| 9.15|Cl Collinder 110    |099.64583|+02.04000
281|Berkeley 28|210| 2.23| 2557|   67| 0.76| 7.85|Cl Berkeley 28      |103.03307|+02.91123
282|Berkeley 30|210| 4.18| 4790|  389| 0.50| 8.48|Cl Berkeley 30      |104.42500|+03.21667
283|Dolidze 25 |211|36.67| 6304| -140| 0.72| 6.84|Cl Dolidze 25       |101.27500|+00.30000
284|Bochum 2   |212| 1.16| 2661|  -18| 0.83| 6.66|Cl Bochum 2         |102.22500|+00.38333
285|N2301      |212| 3.55|  872|    4| 0.03| 8.22|NGC 2301            |102.95000|+00.46667
286|N2324      |213| 7.75| 3805|  219| 0.13| 8.63|NGC 2324            |106.05000|+01.05000
287|Sauer 1    |214|13.93|11970| 1425| 0.12| 9.85|Cl Saurer 1         |110.22500|+01.80000
288|N2232      |214| 4.70|  359|  -46| 0.03| 7.73|NGC 2232            |097.00833|-04.84667
289|N2286      |215|11.80| 2897| -115| 0.17| 8.88|NGC 2286            |101.90000|-03.16667
290|N2682      |215| 6.60|  908|  476| 0.06| 9.41|NGC 2682            |132.82500|+11.80000
291|N2215      |215| 2.63| 1293| -227| 0.30| 8.37|NGC 2215            |095.20000|-07.28333
292|N2311      |217| 4.00| 2290|  -28| 0.33| 8.60|NGC 2311            |104.45000|-04.61667
293|Bochum 3   |218| 2.05| 1762|   11| 0.24| 7.89|Cl Bochum 3         |105.85000|-05.06667
294|N2302      |219| 1.72| 1182|  -64| 0.21| 7.85|NGC 2302            |102.97500|-07.08333
295|N2309      |219| 3.65| 2511|  -98| 0.35| 8.40|NGC 2309            |104.05000|-07.20000
296|Melotte 111|221| 3.35|   96|   95| 0.01| 8.65|Cl Melotte 111      |185.62500|+25.85000
297|N2323      |221| 3.78|  929|  -22| 0.21| 8.10|NGC 2323            |105.70000|-08.37667
298|Berkeley 39|223| 9.73| 4730|  838| 0.12| 9.90|Cl Berkeley 39      |116.67500|-04.60000
299|N2335      |223| 2.47| 1417|  -29| 0.39| 8.21|NGC 2335            |106.70417|-10.02833
300|N2343      |224| 1.54| 1056|  -22| 0.12| 7.10|NGC 2343            |107.02500|-10.61667
301|N2353      |224| 5.86| 1119|    8| 0.07| 7.97|NGC 2353            |108.62500|-10.26667
302|Berkeley 33|225| 5.39| 4635| -374| 0.70| 8.85|Cl Berkeley 33      |104.42500|-13.21667
303|N2204      |226| 7.65| 2629| -729| 0.08| 8.90|NGC 2204            |093.78750|-18.64333
304|N2345      |226| 7.86| 2251|  -91| 0.62| 7.85|NGC 2345            |107.07500|-13.18333
305|Haffner 8  |227| 1.72| 1182|   28| 0.03| 9.15|Cl Haffner 8        |110.85000|-12.33333
306|Haffner 6  |227| 5.33| 3054|   14| 0.45| 8.83|Cl Haffner 6        |109.98833|-13.16083
307|N2548      |227| 6.71|  769|  204| 0.03| 8.56|NGC 2548            |123.42500|-05.75000
308|Basel 11a  |228| 2.21| 1520|  -21| 0.00| 8.30|Cl Basel 11a        |109.27500|-13.96667
309|N2374      |228| 5.12| 1468|   26| 0.09| 8.46|NGC 2374            |110.97500|-13.26667
310|Platais 5  |228|23.71|  272|  -88|     | 7.78|Cl Platais 5        |092.40000|-22.15167
311|Melotte 71 |228| 6.42| 3154|  247| 0.11| 8.37|Cl Melotte 71       |114.33417|-12.09806
312|N2401      |229| 3.43| 5888|  190| 0.35| 7.80|NGC 2401            |112.35000|-13.96667
313|N2360      |229| 7.14| 1887|  -47| 0.11| 8.75|NGC 2360            |109.42500|-15.63333
314|Waterloo 7 |230| 2.12| 2800|   30| 0.42|     |Cl Waterloo 7       |111.53333|-15.09333
315|N2423      |230| 2.67|  766|   47| 0.10| 8.87|NGC 2423            |114.27500|-13.86667
316|N2506      |230|12.08| 3460|  597| 0.08| 9.04|NGC 2506            |120.00417|-10.77000
317|Czernik 29 |230| 6.06| 4168|   68| 0.48| 8.30|Cl Czernik 29       |112.07500|-15.40000
318|Haffner 10 |230| 4.58| 5248|   92| 0.52| 9.10|Cl Haffner 10       |112.15000|-15.38333
319|N2422      |230| 3.56|  490|   27| 0.07| 7.86|NGC 2422            |114.15000|-14.48333
320|N2287      |231| 7.86|  693| -126| 0.03| 8.38|NGC 2287            |101.50000|-20.76667
321|N2414      |231| 5.03| 3455|  117| 0.51| 6.98|NGC 2414            |113.30000|-15.45000
322|N2425      |231| 5.89| 4053|  231| 0.31| 9.20|NGC 2425            |114.57500|-14.86667
323|N2437      |231| 8.00| 1375|   97| 0.15| 8.39|NGC 2437            |115.42500|-14.81667
324|Tombaugh 1 |232| 4.36| 3000| -382| 0.40| 9.00|Cl Tombaugh 1       |105.12083|-20.56667
325|Bochum 5   |232| 3.80|  872|   12| 0.19| 7.54|Cl Bochum 5         |112.75000|-16.93333
326|Bochum 4   |232| 3.33| 2291|   31| 0.63| 7.00|Cl Bochum 4         |112.90000|-17.18333
327|Tombaugh 2 |232|11.57|13260|-1588| 0.08| 9.01|Cl Tombaugh 2       |105.85000|-20.85000
328|N2539      |233| 3.57| 1363|  263| 0.08| 8.57|NGC 2539            |122.67500|-12.83333
329|Bochum 6   |234|11.58| 3981|  -15| 0.70| 7.00|Cl Bochum 6         |113.00000|-19.43333
330|Collind.121|235|12.19|  471|  -84| 0.03| 7.05|Cl Collinder 121    |103.67500|-24.30000
331|N2383      |235| 2.41| 1655|  -71| 0.21| 7.17|NGC 2383            |111.17083|-20.94500
332|N2384      |235| 3.08| 2116|  -88| 0.26| 6.90|NGC 2384            |111.30000|-21.02333
333|N2432      |235| 3.32| 1905|   59| 0.23| 8.80|NGC 2432            |115.32500|-19.15000
334|N2367      |235| 2.91| 2004| -134| 0.33| 6.74|NGC 2367            |110.02500|-21.88333
335|N2421      |236| 4.44| 2181|    3| 0.45| 7.37|NGC 2421            |114.05000|-20.61667
336|Alessi 13  |236|13.41|  110|  -90| 0.04|     |Cl Alessi 13        |053.50000|-35.31667
337|N2362      |238| 2.02| 1389| -134| 0.10| 6.91|NGC 2362            |109.65000|-24.98333
338|Trumpler 7 |238| 2.14| 1474|  -86| 0.27| 7.43|Cl Trumpler 7       |111.83750|-23.95667
339|Ruprecht 46|238| 0.66|  752|   77| 0.07| 9.60|Cl Ruprecht 46      |120.54167|-19.46500
340|N2354      |238|21.39| 4085| -483| 0.31| 8.13|NGC 2354            |108.52917|-25.74000
341|N2243      |239| 6.48| 4458|-1379| 0.05| 9.03|NGC 2243            |097.39167|-31.28333
342|Ruprecht 18|239| 2.15| 1056|  -91| 0.70| 7.65|Cl Ruprecht 18      |111.20000|-26.21667
343|N2447      |240| 3.02| 1037|    2| 0.05| 8.59|NGC 2447            |116.15000|-23.86667
344|Ruprecht 32|241| 7.78| 5346|  -53| 0.50| 7.08|Cl Ruprecht 32      |116.24250|-25.51139
345|N2482      |241| 3.91| 1343|   48| 0.09| 8.60|NGC 2482            |118.80000|-24.26667
346|Haffner 16 |242| 4.60| 3165|   26| 0.18| 7.08|Cl Haffner 16       |117.58333|-25.45333
347|Ruprecht 20|242| 1.76| 1208| -121| 0.10| 8.50|Cl Ruprecht 20      |111.67083|-28.83000
348|Waterloo 3 |242| 3.03| 5200|  131| 0.34|     |Cl Waterloo 3       |118.77500|-25.36500
349|Ruprecht 36|242| 2.44| 1681|  -10| 0.17| 7.61|Cl Ruprecht 36      |117.09167|-26.30333
350|Collind.132|242|10.98|  472|  -72| 0.04| 7.08|Cl Collinder 132    |108.40000|-31.03333
351|Trumpler 9 |243| 3.33| 2289|   51| 0.25| 8.00|Cl Trumpler 9       |118.92500|-25.88500
352|Haffner 19 |243| 2.96| 5094|   47| 0.42| 6.93|Cl Haffner 19       |118.17500|-26.25000
353|Haffner 18 |243| 3.51| 6028|   47| 0.61| 6.89|Cl Haffner 18       |118.12500|-26.36667
354|N2467      |243| 5.52| 1355|    9| 0.34| 7.10|NGC 2467            |118.08042|-26.44167
355|N2453      |243| 2.50| 2150|  -35| 0.45| 7.19|NGC 2453            |116.89583|-27.19500
356|Ruprecht 49|244| 1.06| 1823|   72| 0.26| 7.93|Cl Ruprecht 49      |120.81250|-26.77333
357|N2483      |244| 3.38| 1659|    7| 0.30| 7.09|NGC 2483            |118.90000|-27.90000
358|Haffner 21 |244| 2.58| 2951|   84| 0.11| 7.92|Cl Haffner 21       |120.30000|-27.16667
359|Collind.140|244| 3.42|  405|  -56| 0.03| 7.55|Cl Collinder 140    |110.82500|-32.06667
360|Ruprecht 44|245|13.76| 4730|   40| 0.62| 6.94|Cl Ruprecht 44      |119.72500|-28.58333
361|N2527      |246| 1.75|  601|   19| 0.04| 8.65|NGC 2527            |121.25000|-28.15000
362|N2439      |246|10.09| 3855| -300| 0.41| 7.25|NGC 2439            |115.20000|-31.68333
363|N2489      |246| 6.91| 3957|  -53| 0.37| 7.26|NGC 2489            |119.07500|-30.06667
364|Haffner 20 |246| 2.72| 3117|  -51| 0.57| 8.12|Cl Haffner 20       |119.07500|-30.40000
365|Haffner 17 |247| 1.68| 2880| -127| 1.26| 7.70|Cl Haffner 17       |117.86833|-31.84000
366|N2533      |247| 4.91| 3379|   77| 0.05| 8.88|NGC 2533            |121.75000|-29.90000
367|Haffner 15 |247| 1.81| 2078| -151| 1.14| 7.17|Cl Haffner 15       |116.37500|-32.84167
368|Bochum 15  |247| 2.45| 2806| -268| 0.58| 6.74|Cl Bochum 15        |115.02500|-33.55000
369|Arp-Mado. 2|248| 7.76|13341|-1366| 0.57| 9.34|Cl AM 2             |114.69167|-33.84333
370|Ruprecht 47|248| 3.50| 3006|  -10| 0.28| 7.89|Cl Ruprecht 47      |120.57500|-31.07833
371|Collind.135|248| 4.60|  316|  -61| 0.03| 7.41|Cl Collinder 135    |109.45000|-37.16667
372|N2571      |249| 3.12| 1342|   83| 0.14| 7.49|NGC 2571            |124.75000|-29.75000
373|N2567      |249| 3.41| 1677|   87| 0.13| 8.47|NGC 2567            |124.63333|-30.63333
374|Ruprecht 55|250| 7.12| 4892|   69| 0.56| 6.85|Cl Ruprecht 55      |123.12500|-32.58333
375|N2627      |251| 4.73| 2034|  236| 0.09| 8.57|NGC 2627            |129.30000|-29.95000
376|N2451B     |252| 9.49|  302|  -35| 0.06| 7.65|NGC 2451B           |116.10000|-37.66667
377|N2588      |252| 2.29| 5248|  224| 0.30| 8.60|NGC 2588            |125.80000|-32.98333
378|Ruprecht 59|253| 0.76|  874|   14| 0.09| 7.73|Cl Ruprecht 59      |124.82917|-34.48500
379|N2477      |253| 5.33| 1222| -124| 0.28| 8.85|NGC 2477            |118.02500|-38.53333
380|BH 23      |254| 4.96|  437|   -7| 0.06| 7.10|Cl vdBergh-Hagen 23          |123.60000|-36.40000
381|N2658      |254| 3.53| 2021|  214| 0.04| 9.15|NGC 2658            |130.85000|-32.65000
382|N2579      |254| 2.10| 1033|    4| 0.15| 7.61|NGC 2579            |125.22083|-36.21333
383|N2546      |254|18.71|  919|  -32| 0.13| 7.87|NGC 2546            |122.97500|-37.61667
384|Collind.185|255| 2.59| 1486|   14| 0.21| 8.11|Cl Collinder 185    |125.82500|-36.33333
385|Pismis 1   |255| 5.15| 5907|  -73| 0.58| 7.93|Cl Pismis 1         |124.45000|-37.08333
386|N2635      |255| 1.67| 5754|  397| 0.35| 8.50|NGC 2635            |129.61667|-34.76000
387|Pismis 3   |257| 2.03| 1394|   12| 1.30| 9.03|Cl Pismis 3         |127.75000|-38.66667
388|Alessi 3   |257| 6.03|  288|  -76| 0.11| 8.70|Cl Alessi 3         |109.10000|-46.60000
389|Saurer 2   |257| 5.47| 4700|  -82| 1.24| 9.40|Cl Saurer 2         |126.37500|-39.63333
390|Pismis 2   |258| 3.85| 3310| -193| 0.05| 9.06|Cl Pismis 2         |124.47917|-41.67167
391|Pismis 5   |259| 0.51|  869|   14| 0.42| 7.20|Cl Pismis 5         |129.40833|-39.58389
392|Rupr. 72   |259| 2.63| 3019|  230| 0.24| 9.10|Cl Ruprecht 72      |133.02500|-37.60000
393|Rupr. 158  |259| 2.42| 4168|  323| 0.24| 9.20|Cl Ruprecht 158     |133.07500|-37.56667
394|Melotte 66 |259|17.56| 4313|-1061| 0.14| 9.44|Cl Melotte 66       |111.59583|-47.66667
395|Collind.173|261|45.22|  421|  -60| 0.05| 7.14|Cl Collinder 173    |120.90000|-46.28333
396|Collind.197|261| 6.09|  838|   14| 0.55| 7.13|Cl Collinder 197    |131.16667|-41.27667
397|N2818      |261| 4.86| 1855|  277| 0.12| 8.63|NGC 2818            |139.00690|-36.62743
398|N2671      |262| 2.90| 1660|   23| 1.04| 7.90|NGC 2671            |131.55000|-41.88333
399|Trumpler 10|262| 3.58|  424|    5| 0.03| 7.54|Cl Trumpler 10      |131.92500|-42.45000
400|Ruprecht 67|262| 2.62| 1504|  -21| 0.43| 8.26|Cl Ruprecht 67      |130.40000|-43.36667
401|Pismis 4   |262| 4.31|  593|  -25| 0.01| 7.53|Cl Pismis 4         |128.67458|-44.39500
402|N2659      |264| 2.49| 1713|   -3| 0.51| 6.89|NGC 2659            |130.65000|-44.98333
403|N2547      |264| 3.31|  455|  -68| 0.04| 7.56|NGC 2547            |122.60708|-49.16750
404|N2645      |264| 1.46| 1668|  -85| 0.38| 7.28|NGC 2645            |129.76667|-46.22667
405|Waterloo 6 |264| 0.92| 1578|  -73| 0.24| 7.67|Cl Waterloo 6       |130.10000|-46.13333
406|Pismis 8   |265| 1.14| 1312|  -59| 0.71| 7.43|Cl Pismis 8         |130.39583|-46.27333
407|Bochum 7   |265|33.48| 5754|  197| 0.86| 7.00|Cl Bochum 7         |131.20000|-45.96667
408|N2660      |265| 2.88| 2826| -149| 0.31| 9.03|NGC 2660            |130.65833|-47.20000
409|I2395      |266| 3.49|  705|  -44| 0.07| 7.22|IC 2395             |130.65417|-48.11333
410|Platais 9  |266|20.00|  174|   10|     | 8.00|Cl Platais 9        |138.44583|-43.74000
411|N2670      |267| 2.42| 1188|  -75| 0.43| 7.69|NGC 2670            |131.37500|-48.80000
412|Collind.205|269| 2.70| 1853|  -60| 0.75| 7.20|Cl Collinder 205    |135.12500|-48.98333
413|I2391      |270| 3.05|  175|  -21| 0.01| 7.66|IC 2391             |130.15000|-53.03333
414|N2669      |270| 6.09| 1046| -111| 0.18| 7.93|NGC 2669            |131.60000|-52.93333
415|Pismis 11  |271| 1.63| 2800|  -20| 1.25| 7.34|Cl Pismis 11        |138.95000|-50.01667
416|N2866      |273| 1.11| 1901|  -25| 0.63| 7.66|NGC 2866            |140.51833|-51.10222
417|Ruprecht 76|273| 1.84| 1262|  -21| 0.38| 7.73|Cl Ruprecht 76      |141.07500|-51.66500
418|N2516      |273| 3.57|  409| -112| 0.10| 8.05|NGC 2516            |119.52500|-60.75000
419|N1252      |274| 2.61|  640| -496| 0.02| 9.48|NGC 1252            |047.70417|-57.76667
420|N 2972     |274| 1.80| 2062|   63| 0.34| 7.97|NGC  2972           |145.11875|-50.33611
421|N2910      |275| 3.03| 2607|  -54| 0.34| 8.20|NGC 2910            |142.62500|-52.91667
422|Ruprecht 78|275| 1.43| 1641|  -54| 0.35| 7.99|Cl Ruprecht 78      |142.30000|-53.70000
423|N2925      |275| 2.25|  774|  -17| 0.08| 7.85|NGC 2925            |143.30000|-53.36667
424|BH 66      |276| 8.14| 7000| -367| 0.40| 8.90|Cl vdBergh-Hagen 66          |141.32500|-54.71667
425|Ruprecht 77|276| 6.01| 4129| -225| 0.62| 7.50|Cl Ruprecht 77      |141.77500|-55.11667
426|Ruprecht 79|277| 2.88| 1979|  -25| 0.72| 7.09|Cl Ruprecht 79      |145.25000|-53.85000
427|Platais 8  |277|35.94|  132|  -18|     | 7.78|Cl Platais 8        |137.37500|-59.12833
428|Ruprecht 82|277| 3.57| 2455|  -20| 0.29| 8.50|Cl Ruprecht 82      |146.45000|-54.00000
429|Pismis 16  |277| 1.06| 1824|   22| 0.56| 7.84|Cl Pismis 16        |147.80417|-53.17667
430|I2488      |277| 5.94| 1134|  -87| 0.23| 8.11|IC 2488             |141.90000|-57.00000
431|Basel 20   |277| 5.89| 2024| -122| 0.41| 7.42|Cl Basel 20         |143.15000|-56.31667
432|Ruprecht 83|278| 2.15| 2459|  -26| 0.45| 8.45|Cl Ruprecht 83      |147.27833|-54.56861
433|N1901      |279| 1.81|  415| -230| 0.06| 8.92|NGC 1901            |079.54583|-68.45000
434|N3033      |279| 1.07|  922|  -33| 0.33| 7.84|NGC 3033            |147.12500|-56.42500
435|N3105      |279| 2.84| 4884|   22| 0.99| 7.24|NGC 3105            |150.20000|-54.76667
436|N3228      |280| 0.79|  544|   43| 0.03| 7.93|NGC 3228            |155.35000|-51.73333
437|BH 90      |283| 2.99| 2572|  -66| 0.53| 7.94|Cl vdBergh-Hagen 90          |152.97500|-58.08333
438|N3114      |283| 9.27|  911|  -61| 0.07| 8.09|NGC 3114            |150.50000|-60.10000
439|N3330      |284| 1.04|  894|   60| 0.05| 8.23|NGC 3330            |159.70000|-54.11667
440|Westerl. 2 |284| 1.09| 1874|  -11| 0.78| 7.22|Cl Westerlund 2     |155.99208|-57.76361
441|Trumpler 11|284| 4.51| 3100| -263| 0.21|     |Cl Trumpler 11      |151.25000|-61.61667
442|N3247      |284| 1.80| 1547|   -9| 0.22| 8.08|NGC 3247            |156.07208|-57.76000
443|I2581      |284| 3.56| 2446|    2| 0.42| 7.14|IC 2581             |156.87500|-57.63333
444|Saurer 3   |285| 6.16| 8830|  462| 0.62| 9.45|Cl Saurer 3         |160.37500|-55.30000
445|N3293      |285| 4.06| 2327|    3| 0.26| 7.01|NGC 3293            |158.95333|-58.21667
446|Collind.223|286| 4.41| 1686|  -48| 0.26| 7.01|Cl Collinder 223    |157.60000|-59.81667
447|N3255      |286| 0.84| 1445|  -66| 0.25| 8.30|NGC 3255            |156.62500|-60.66667
448|N3324      |286| 8.09| 2317|   -8| 0.44| 6.75|NGC 3324            |159.32500|-58.63333
449|Carraro 1  |286| 2.21| 1900|  -10| 0.25| 9.48|NAME CARRARO 1      |159.25000|-58.73333
450|BH 99      |286| 2.95|  507|   -6| 0.06| 7.60|Cl vdBergh-Hagen 99          |159.47500|-59.13333
451|N3680      |286| 1.36|  938|  273| 0.07| 9.08|NGC 3680            |171.40833|-43.24333
452|Bochum 9   |286|20.07| 4600| -126| 0.63|     |Cl Bochum 9         |158.94042|-60.12611
453|Bochum 10  |287|11.79| 2027|  -11| 0.31| 6.86|Cl Bochum 10        |160.55917|-59.14556
454|ESO 092-18 |287|15.43|10607|-1229| 0.50| 9.02|ESO 092-18          |153.72500|-64.61667
455|Colind. 228|287| 8.96| 2201|  -39| 0.34| 6.83|Cl Collinder 228    |160.95000|-60.08333
456|Trumpler 14|287| 3.97| 2733|  -28| 0.52| 6.83|Cl Trumpler 14      |160.97500|-59.55000
457|Trumpler 15|287| 7.55| 1853|  -12| 0.43| 6.93|Cl Trumpler 15      |161.17500|-59.36667
458|Collind.232|287| 3.49| 2996|  -27| 0.57| 6.67|Cl Collinder 232    |161.20000|-59.56667
459|Trumpler 16|287| 7.78| 2673|  -31| 0.49| 6.79|Cl Trumpler 16      |161.30000|-59.71667
460|Bochum 11  |288|14.73| 2412|  -36| 0.58| 6.76|Cl Bochum 11        |161.81333|-60.09750
461|Alessi 5   |288| 3.82|  398|  -14| 0.15| 7.60|Cl Alessi 5         |160.72500|-61.20000
462|Trumpler 17|288| 3.18| 2189|   17| 0.60| 7.71|Cl Trumpler 17      |164.10000|-59.20000
463|Pismis 17  |289| 6.12| 3504|    9| 0.47| 7.02|Cl Pismis 17        |165.26667|-59.81833
464|Ruprecht 92|289| 4.81| 2362|  -82| 0.46| 7.80|Cl Ruprecht 92      |163.30000|-61.71667
465|N3496      |289| 2.30|  990|   -7| 0.47| 8.47|NGC 3496            |164.90000|-60.38333
466|N3532      |289| 7.07|  486|   11| 0.04| 8.49|NGC 3532            |166.38750|-58.73000
467|I2602      |289| 4.68|  161|  -14| 0.02| 7.51|IC 2602             |160.80000|-64.40000
