Simbad_ID,Seq,Name,l[deg],Diam[pc],R[pc],Z[pc],E(B-V),logT[yr],SimbadName,_RA[deg],_Dec[deg]
NGC_2355,258,NGC_2355,203,4.48,2200,450, 0.12, 8.85,NGC_2355,109.25,13.78333
Cl_Berkeley_20,259,Berkeley_20,203,4.89,8400,-2494, 0.12, 9.78,Berkeley_20,83.25,0.21666999999999997
NGC_2186,260,NGC_2186,203,2.1,1445,-156, 0.27, 7.74,NGC_2186,93.025,5.46667
NGC_2251,261,NGC_2251,203,3.87,1329,2, 0.19, 8.43,NGC_2251,98.65,8.36667
Basel_8,262,Basel_8,203,11.2,1328,-3, 0.37, 8.01,Basel_8,98.55,8.01667
Basel_7,263,Basel_7,203,2.45,1684,16, 0.40, 8.03,Basel_7,99.15,8.35
NGC_2254,264,NGC_2254,204,3.44,2364,2, 0.40, 8.31,NGC_2254,99.0,7.66667
NGC_2236,265,NGC_2236,204,5.97,2930,-87, 0.48, 8.54,NGC_2236,97.425,6.83333
NGC_2395,266,NGC_2395,204,2.09,512,124, 0.12, 9.07,NGC_2395,111.775,13.583329999999998
Cl_Collinder_70,267,Collinder_70,205,15.76,387,-115, 0.04, 6.98,Collinder_70,83.875,-1.1
NAME_HIP_29713_Cluster,268,Platais_6,205,25.49,348,-38,     , 7.78,Platais_6,93.85833000000001,3.845
C_0628+059,269,Collinder_97,205,4.58,630,-19, 0.00, 8.00,Collinder_97,97.825,5.95
NGC_2112,270,NGC_2112,205,4.45,850,-186, 0.63, 9.30,NGC_2112,88.4375,0.41
NGC_2632,271,NGC_2632,205,3.81,187,100, 0.01, 8.86,NGC_2632,130.1,19.683329999999998
Cl_Berkeley_31,272,Berkeley_31,206,12.03,8272,738, 0.08, 9.31,Berkeley_31,104.4,8.26667
NGC_2244,273,NGC_2244,206,12.19,1445,-52, 0.46, 6.90,NGC_2244,97.975,4.933330000000001
Collinder_107,274,Collinder_107,207,14.66,1738,-27, 0.54, 7.00,Collinder_107,99.625,4.63333
NGC_2269,275,NGC_2269,207,1.47,1687,9, 0.40, 8.42,NGC_2269,100.82125,4.62444
Cl_Berkeley_32,276,Berkeley_32,207,5.41,3100,238, 0.16, 9.53,Berkeley_32,104.525,6.433330000000001
Collinder_96,277,Collinder_96,207,3.36,962,-57, 0.51, 7.03,Collinder_96,97.575,2.86667
M_42,279,NGC_1976,209,5.45,399,-132, 0.05, 7.11,NGC_1976,83.82208,-5.39111
C_0635+020,280,Collinder_110,209,10.21,1950,-67, 0.50, 9.15,Collinder_110,99.64583,2.04
Cl_Berkeley_28,281,Berkeley_28,210,2.23,2557,67, 0.76, 7.85,Berkeley_28,103.03307,2.9112299999999998
Cl_Berkeley_30,282,Berkeley_30,210,4.18,4790,389, 0.50, 8.48,Berkeley_30,104.425,3.21667
C_0642+003,283,Dolidze_25,211,36.67,6304,-140, 0.72, 6.84,Dolidze_25,101.275,0.3
C_0646+004,284,Bochum_2,212,1.16,2661,-18, 0.83, 6.66,Bochum_2,102.225,0.38333
NGC_2301,285,NGC_2301,212,3.55,872,4, 0.03, 8.22,NGC_2301,102.95,0.46667
NGC_2324,286,NGC_2324,213,7.75,3805,219, 0.13, 8.63,NGC_2324,106.05,1.05
NAME_Saurer_A_Cluster,287,Saurer_1,214,13.93,11970,1425, 0.12, 9.85,Saurer_1,110.225,1.8
NGC_2232,288,NGC_2232,214,4.7,359,-46, 0.03, 7.73,NGC_2232,97.00833,-4.84667
NGC_2286,289,NGC_2286,215,11.8,2897,-115, 0.17, 8.88,NGC_2286,101.9,-3.16667
NGC_2682,290,NGC_2682,215,6.6,908,476, 0.06, 9.41,NGC_2682,132.825,11.8
NGC_2215,291,NGC_2215,215,2.63,1293,-227, 0.30, 8.37,NGC_2215,95.2,-7.28333
NGC_2311,292,NGC_2311,217,4.0,2290,-28, 0.33, 8.60,NGC_2311,104.45,-4.61667
Bochum_3,293,Bochum_3,218,2.05,1762,11, 0.24, 7.89,Bochum_3,105.85,-5.066669999999999
NGC_2302,294,NGC_2302,219,1.72,1182,-64, 0.21, 7.85,NGC_2302,102.975,-7.08333
NGC_2309,295,NGC_2309,219,3.65,2511,-98, 0.35, 8.40,NGC_2309,104.05,-7.2
Cl_Melotte_111,296,Melotte_111,221,3.35,96,95, 0.01, 8.65,Melotte_111,185.625,25.85
NGC_2323,297,NGC_2323,221,3.78,929,-22, 0.21, 8.10,NGC_2323,105.7,-8.376669999999999
Cl_Berkeley_39,298,Berkeley_39,223,9.73,4730,838, 0.12, 9.90,Berkeley_39,116.675,-4.6
NGC_2335,299,NGC_2335,223,2.47,1417,-29, 0.39, 8.21,NGC_2335,106.70416999999999,-10.02833
NGC_2343,300,NGC_2343,224,1.54,1056,-22, 0.12, 7.10,NGC_2343,107.025,-10.61667
NGC_2353,301,NGC_2353,224,5.86,1119,8, 0.07, 7.97,NGC_2353,108.625,-10.26667
Cl_Berkeley_33,302,Berkeley_33,225,5.39,4635,-374, 0.70, 8.85,Berkeley_33,104.425,-13.21667
NGC_2204,303,NGC_2204,226,7.65,2629,-729, 0.08, 8.90,NGC_2204,93.7875,-18.64333
NGC_2345,304,NGC_2345,226,7.86,2251,-91, 0.62, 7.85,NGC_2345,107.075,-13.183329999999998
Haffner_8,305,Haffner_8,227,1.72,1182,28, 0.03, 9.15,Haffner_8,110.85,-12.33333
Cl_Haffner_6,306,Haffner_6,227,5.33,3054,14, 0.45, 8.83,Haffner_6,109.98833,-13.160829999999999
M_48,307,NGC_2548,227,6.71,769,204, 0.03, 8.56,NGC_2548,123.425,-5.75
NAME_Basel_11A,308,Basel_11a,228,2.21,1520,-21, 0.00, 8.30,Basel_11a,109.275,-13.96667
NGC_2374,309,NGC_2374,228,5.12,1468,26, 0.09, 8.46,NGC_2374,110.975,-13.266670000000001
NAME_HIP_28944_Cluster,310,Platais_5,228,23.71,272,-88,     , 7.78,Platais_5,92.4,-22.151670000000003
Cl_Melotte_71,311,Melotte_71,228,6.42,3154,247, 0.11, 8.37,Melotte_71,114.33417,-12.09806
NGC_2401,312,NGC_2401,229,3.43,5888,190, 0.35, 7.80,NGC_2401,112.35,-13.96667
NGC_2360,313,NGC_2360,229,7.14,1887,-47, 0.11, 8.75,NGC_2360,109.425,-15.633329999999999
Cl_Waterloo_7,314,Waterloo_7,230,2.12,2800,30, 0.42,     ,Waterloo_7,111.53333,-15.093329999999998
NGC_2423,315,NGC_2423,230,2.67,766,47, 0.10, 8.87,NGC_2423,114.275,-13.866670000000001
NGC_2506,316,NGC_2506,230,12.08,3460,597, 0.08, 9.04,NGC_2506,120.00417,-10.77
C_0726-153,317,Czernik_29,230,6.06,4168,68, 0.48, 8.30,Czernik_29,112.075,-15.4
C_0726-152,318,Haffner_10,230,4.58,5248,92, 0.52, 9.10,Haffner_10,112.15,-15.383329999999999
NGC_2422,319,NGC_2422,230,3.56,490,27, 0.07, 7.86,NGC_2422,114.15,-14.483329999999999
M_41,320,NGC_2287,231,7.86,693,-126, 0.03, 8.38,NGC_2287,101.5,-20.76667
NGC_2414,321,NGC_2414,231,5.03,3455,117, 0.51, 6.98,NGC_2414,113.3,-15.45
NGC_2425,322,NGC_2425,231,5.89,4053,231, 0.31, 9.20,NGC_2425,114.575,-14.866670000000001
NGC_2437,323,NGC_2437,231,8.0,1375,97, 0.15, 8.39,NGC_2437,115.425,-14.816670000000002
C_0658-204,324,Tombaugh_1,232,4.36,3000,-382, 0.40, 9.00,Tombaugh_1,105.12083,-20.566670000000002
Cl_Bochum_5,325,Bochum_5,232,3.8,872,12, 0.19, 7.54,Bochum_5,112.75,-16.933329999999998
NGC_2409,326,Bochum_4,232,3.33,2291,31, 0.63, 7.00,Bochum_4,112.9,-17.183329999999998
Tombaugh_2,327,Tombaugh_2,232,11.57,13260,-1588, 0.08, 9.01,Tombaugh_2,105.85,-20.85
NGC_2539,328,NGC_2539,233,3.57,1363,263, 0.08, 8.57,NGC_2539,122.675,-12.83333
C_0729-193,329,Bochum_6,234,11.58,3981,-15, 0.70, 7.00,Bochum_6,113.0,-19.433329999999998
Collinder_121,330,Collinder_121,235,12.19,471,-84, 0.03, 7.05,Collinder_121,103.675,-24.3
NGC_2383,331,NGC_2383,235,2.41,1655,-71, 0.21, 7.17,NGC_2383,111.17083000000001,-20.945
NGC_2384,332,NGC_2384,235,3.08,2116,-88, 0.26, 6.90,NGC_2384,111.3,-21.023329999999998
NGC_2432,333,NGC_2432,235,3.32,1905,59, 0.23, 8.80,NGC_2432,115.325,-19.15
NGC_2367,334,NGC_2367,235,2.91,2004,-134, 0.33, 6.74,NGC_2367,110.025,-21.883329999999997
NGC_2421,335,NGC_2421,236,4.44,2181,3, 0.45, 7.37,NGC_2421,114.05,-20.616670000000003
Cl_Alessi_13,336,Alessi_13,236,13.41,110,-90, 0.04,     ,Alessi_13,53.5,-35.31667
NGC_2362,337,NGC_2362,238,2.02,1389,-134, 0.10, 6.91,NGC_2362,109.65,-24.98333
Cl_Trumpler_7,338,Trumpler_7,238,2.14,1474,-86, 0.27, 7.43,Trumpler_7,111.8375,-23.956670000000003
C_0759-193,339,Ruprecht_46,238,0.66,752,77, 0.07, 9.60,Ruprecht_46,120.54167,-19.465
NGC_2354,340,NGC_2354,238,21.39,4085,-483, 0.31, 8.13,NGC_2354,108.52917,-25.74
NGC_2243,341,NGC_2243,239,6.48,4458,-1379, 0.05, 9.03,NGC_2243,97.39166999999999,-31.28333
Ruprecht_18,342,Ruprecht_18,239,2.15,1056,-91, 0.70, 7.65,Ruprecht_18,111.2,-26.21667
NGC_2447,343,NGC_2447,240,3.02,1037,2, 0.05, 8.59,NGC_2447,116.15,-23.866670000000003
Cl_Ruprecht_32,344,Ruprecht_32,241,7.78,5346,-53, 0.50, 7.08,Ruprecht_32,116.2425,-25.51139
NGC_2482,345,NGC_2482,241,3.91,1343,48, 0.09, 8.60,NGC_2482,118.8,-24.26667
Cl_Haffner_16,346,Haffner_16,242,4.6,3165,26, 0.18, 7.08,Haffner_16,117.58333,-25.453329999999998
C_0724-287,347,Ruprecht_20,242,1.76,1208,-121, 0.10, 8.50,Ruprecht_20,111.67083000000001,-28.83
Cl_Waterloo_3,348,Waterloo_3,242,3.03,5200,131, 0.34,     ,Waterloo_3,118.775,-25.365
C_0746-261,349,Ruprecht_36,242,2.44,1681,-10, 0.17, 7.61,Ruprecht_36,117.09167,-26.30333
Collinder_132,350,Collinder_132,242,10.98,472,-72, 0.04, 7.08,Collinder_132,108.4,-31.03333
C_0753-258,351,Trumpler_9,243,3.33,2289,51, 0.25, 8.00,Trumpler_9,118.925,-25.885
Haffner_19,352,Haffner_19,243,2.96,5094,47, 0.42, 6.93,Haffner_19,118.175,-26.25
Haffner_18,353,Haffner_18,243,3.51,6028,47, 0.61, 6.89,Haffner_18,118.125,-26.366670000000003
NGC_2467,354,NGC_2467,243,5.52,1355,9, 0.34, 7.10,NGC_2467,118.08041999999999,-26.441670000000002
NGC_2453,355,NGC_2453,243,2.5,2150,-35, 0.45, 7.19,NGC_2453,116.89583,-27.195
C_0801-266,356,Ruprecht_49,244,1.06,1823,72, 0.26, 7.93,Ruprecht_49,120.8125,-26.773329999999998
NGC_2483,357,NGC_2483,244,3.38,1659,7, 0.30, 7.09,NGC_2483,118.9,-27.9
Haffner_21,358,Haffner_21,244,2.58,2951,84, 0.11, 7.92,Haffner_21,120.3,-27.16667
Collinder_140,359,Collinder_140,244,3.42,405,-56, 0.03, 7.55,Collinder_140,110.825,-32.06667
C_0757-284,360,Ruprecht_44,245,13.76,4730,40, 0.62, 6.94,Ruprecht_44,119.725,-28.58333
NGC_2527,361,NGC_2527,246,1.75,601,19, 0.04, 8.65,NGC_2527,121.25,-28.15
NGC_2439,362,NGC_2439,246,10.09,3855,-300, 0.41, 7.25,NGC_2439,115.2,-31.683329999999998
NGC_2489,363,NGC_2489,246,6.91,3957,-53, 0.37, 7.26,NGC_2489,119.075,-30.066670000000002
Haffner_20,364,Haffner_20,246,2.72,3117,-51, 0.57, 8.12,Haffner_20,119.075,-30.4
C_0749-317,365,Haffner_17,247,1.68,2880,-127, 1.26, 7.70,Haffner_17,117.86833,-31.84
NGC_2533,366,NGC_2533,247,4.91,3379,77, 0.05, 8.88,NGC_2533,121.75,-29.9
C_0743-326,367,Haffner_15,247,1.81,2078,-151, 1.14, 7.17,Haffner_15,116.375,-32.84167
Cl_Bochum_15,368,Bochum_15,247,2.45,2806,-268, 0.58, 6.74,Bochum_15,115.025,-33.55
ESO_368-7,369,Arp-Madore_2,248,7.76,13341,-1366, 0.57, 9.34,Arp-Madore_2,114.69167,-33.84333
C_0800-309,370,Ruprecht_47,248,3.5,3006,-10, 0.28, 7.89,Ruprecht_47,120.575,-31.078329999999998
Cl_Collinder_135,371,Collinder_135,248,4.6,316,-61, 0.03, 7.41,Collinder_135,109.45,-37.16667
NGC_2571,372,NGC_2571,249,3.12,1342,83, 0.14, 7.49,NGC_2571,124.75,-29.75
NGC_2567,373,NGC_2567,249,3.41,1677,87, 0.13, 8.47,NGC_2567,124.63333,-30.633329999999997
C_0810-324,374,Ruprecht_55,250,7.12,4892,69, 0.56, 6.85,Ruprecht_55,123.125,-32.58333
NGC_2627,375,NGC_2627,251,4.73,2034,236, 0.09, 8.57,NGC_2627,129.3,-29.95
NAME_HIP_37742_Cluster,376,NGC_2451B,252,9.49,302,-35, 0.06, 7.65,NGC_2451B,116.1,-37.66667
NGC_2588,377,NGC_2588,252,2.29,5248,224, 0.30, 8.60,NGC_2588,125.8,-32.98333
C_0817-343,378,Ruprecht_59,253,0.76,874,14, 0.09, 7.73,Ruprecht_59,124.82916999999999,-34.485
NGC_2477,379,NGC_2477,253,5.33,1222,-124, 0.28, 8.85,NGC_2477,118.025,-38.53333
Cl_VDBH_23,380,vdBergh-Hagen_23,254,4.96,437,-7, 0.06, 7.10,vdBergh-Hagen_23,123.6,-36.4
NGC_2658,381,NGC_2658,254,3.53,2021,214, 0.04, 9.15,NGC_2658,130.85,-32.65
NGC_2579,382,NGC_2579,254,2.1,1033,4, 0.15, 7.61,NGC_2579,125.22083,-36.21333
NGC_2546,383,NGC_2546,254,18.71,919,-32, 0.13, 7.87,NGC_2546,122.975,-37.61667
C_0820-360,384,Collinder_185,255,2.59,1486,14, 0.21, 8.11,Collinder_185,125.825,-36.33333
Pismis_1,385,Pismis_1,255,5.15,5907,-73, 0.58, 7.93,Pismis_1,124.45,-37.08333
NGC_2635,386,NGC_2635,255,1.67,5754,397, 0.35, 8.50,NGC_2635,129.61667,-34.76
Pismis_3,387,Pismis_3,257,2.03,1394,12, 1.30, 9.03,Pismis_3,127.75,-38.66667
Cl_Alessi_3,388,Alessi_3,257,6.03,288,-76, 0.11, 8.70,Alessi_3,109.1,-46.6
[SSW94]_b,389,Saurer_2,257,5.47,4700,-82, 1.24, 9.40,Saurer_2,126.375,-39.63333
C_0816-414,390,Pismis_2,258,3.85,3310,-193, 0.05, 9.06,Pismis_2,124.47917,-41.67167
ESO_313-7,391,Pismis_5,259,0.51,869,14, 0.42, 7.20,Pismis_5,129.40833,-39.583890000000004
C_0850-374,392,Ruprecht_72,259,2.63,3019,230, 0.24, 9.10,Ruprecht_72,133.025,-37.6
Cl_Ruprecht_158,393,Ruprecht_158,259,2.42,4168,323, 0.24, 9.20,Ruprecht_158,133.075,-37.56667
Cl_Melotte_66,394,Melotte_66,259,17.56,4313,-1061, 0.14, 9.44,Melotte_66,111.59583,-47.66667
Collinder_173,395,Collinder_173,261,45.22,421,-60, 0.05, 7.14,Collinder_173,120.9,-46.28333
Collinder_197,396,Collinder_197,261,6.09,838,14, 0.55, 7.13,Collinder_197,131.16666999999998,-41.27667
NGC_2818,397,NGC_2818,261,4.86,1855,277, 0.12, 8.63,NGC_2818,139.0069,-36.62743
NGC_2671,398,NGC_2671,262,2.9,1660,23, 1.04, 7.90,NGC_2671,131.55,-41.88333
Trumpler_10,399,Trumpler_10,262,3.58,424,5, 0.03, 7.54,Trumpler_10,131.925,-42.45
C_0840-432,400,Ruprecht_67,262,2.62,1504,-21, 0.43, 8.26,Ruprecht_67,130.4,-43.36667
Pismis_4,401,Pismis_4,262,4.31,593,-25, 0.01, 7.53,Pismis_4,128.67458,-44.395
NGC_2659,402,NGC_2659,264,2.49,1713,-3, 0.51, 6.89,NGC_2659,130.65,-44.98333
NGC_2547,403,NGC_2547,264,3.31,455,-68, 0.04, 7.56,NGC_2547,122.60708000000001,-49.1675
NGC_2645,404,NGC_2645,264,1.46,1668,-85, 0.38, 7.28,NGC_2645,129.76667,-46.22667
C_0838-459,405,Waterloo_6,264,0.92,1578,-73, 0.24, 7.67,Waterloo_6,130.1,-46.13333
C_0839-461,406,Pismis_8,265,1.14,1312,-59, 0.71, 7.43,Pismis_8,130.39583000000002,-46.27333
C_0843-458,407,Bochum_7,265,33.48,5754,197, 0.86, 7.00,Bochum_7,131.2,-45.96667
NGC_2660,408,NGC_2660,265,2.88,2826,-149, 0.31, 9.03,NGC_2660,130.65833,-47.2
IC_2395,409,IC_2395,266,3.49,705,-44, 0.07, 7.22,IC_2395,130.65417,-48.11333
NAME_HIP_45189_Cluster,410,Platais_9,266,20.0,174,10,     , 8.00,Platais_9,138.44583,-43.74
NGC_2670,411,NGC_2670,267,2.42,1188,-75, 0.43, 7.69,NGC_2670,131.375,-48.8
C_0858-487,412,Collinder_205,269,2.7,1853,-60, 0.75, 7.20,Collinder_205,135.125,-48.98333
IC_2391,413,IC_2391,270,3.05,175,-21, 0.01, 7.66,IC_2391,130.15,-53.03333000000001
NGC_2669,414,NGC_2669,270,6.09,1046,-111, 0.18, 7.93,NGC_2669,131.6,-52.933330000000005
NAME_HD_80077_Group,415,Pismis_11,271,1.63,2800,-20, 1.25, 7.34,Pismis_11,138.95,-50.01667
NGC_2866,416,NGC_2866,273,1.11,1901,-25, 0.63, 7.66,NGC_2866,140.51833,-51.10222
C_0922-515,417,Ruprecht_76,273,1.84,1262,-21, 0.38, 7.73,Ruprecht_76,141.075,-51.665
NGC_2516,418,NGC_2516,273,3.57,409,-112, 0.10, 8.05,NGC_2516,119.525,-60.75
NGC_1252,419,NGC_1252,274,2.61,640,-496, 0.02, 9.48,NGC_1252,47.70417,-57.76667
NGC_2972,420,NGC_2972,274,1.8,2062,63, 0.34, 7.97,NGC_2972,145.11875,-50.33611
NGC_2910,421,NGC_2910,275,3.03,2607,-54, 0.34, 8.20,NGC_2910,142.625,-52.916669999999996
C_0927-534,422,Ruprecht_78,275,1.43,1641,-54, 0.35, 7.99,Ruprecht_78,142.3,-53.7
NGC_2925,423,NGC_2925,275,2.25,774,-17, 0.08, 7.85,NGC_2925,143.3,-53.36666999999999
NAME_UKS_2,424,vdBergh-Hagen_66,276,8.14,7000,-367, 0.40, 8.90,vdBergh-Hagen_66,141.325,-54.71666999999999
C_0925-549,425,Ruprecht_77,276,6.01,4129,-225, 0.62, 7.50,Ruprecht_77,141.775,-55.11666999999999
C_0939-536,426,Ruprecht_79,277,2.88,1979,-25, 0.72, 7.09,Ruprecht_79,145.25,-53.85
Cl_Platais_8,427,Platais_8,277,35.94,132,-18,     , 7.78,Platais_8,137.375,-59.128330000000005
C_0943-537,428,Ruprecht_82,277,3.57,2455,-20, 0.29, 8.50,Ruprecht_82,146.45,-54.0
C_0949-529,429,Pismis_16,277,1.06,1824,22, 0.56, 7.84,Pismis_16,147.80417,-53.176669999999994
IC_2488,430,IC_2488,277,5.94,1134,-87, 0.23, 8.11,IC_2488,141.9,-57.0
Basel_20,431,Basel_20,277,5.89,2024,-122, 0.41, 7.42,Basel_20,143.15,-56.316669999999995
Cl_Ruprecht_83,432,Ruprecht_83,278,2.15,2459,-26, 0.45, 8.45,Ruprecht_83,147.27833,-54.56861
NGC_1901,433,NGC_1901,279,1.81,415,-230, 0.06, 8.92,NGC_1901,79.54583000000001,-68.45
NGC_3033,434,NGC_3033,279,1.07,922,-33, 0.33, 7.84,NGC_3033,147.125,-56.425
NGC_3105,435,NGC_3105,279,2.84,4884,22, 0.99, 7.24,NGC_3105,150.2,-54.76667
NGC_3228,436,NGC_3228,280,0.79,544,43, 0.03, 7.93,NGC_3228,155.35,-51.73333
Cl_VDBH_90,437,vdBergh-Hagen_90,283,2.99,2572,-66, 0.53, 7.94,vdBergh-Hagen_90,152.975,-58.083330000000004
NGC_3114,438,NGC_3114,283,9.27,911,-61, 0.07, 8.09,NGC_3114,150.5,-60.1
NGC_3330,439,NGC_3330,284,1.04,894,60, 0.05, 8.23,NGC_3330,159.7,-54.11666999999999
Cl_Westerlund_2,440,Westerlund_2,284,1.09,1874,-11, 0.78, 7.22,Westerlund_2,155.99208000000002,-57.76361
C_1003-613,441,Trumpler_11,284,4.51,3100,-263, 0.21,     ,Trumpler_11,151.25,-61.61666999999999
NGC_3247,442,NGC_3247,284,1.8,1547,-9, 0.22, 8.08,NGC_3247,156.07208,-57.76
IC_2581,443,IC_2581,284,3.56,2446,2, 0.42, 7.14,IC_2581,156.875,-57.63333000000001
[SSW94]_c,444,Saurer_3,285,6.16,8830,462, 0.62, 9.45,Saurer_3,160.375,-55.3
NGC_3293,445,NGC_3293,285,4.06,2327,3, 0.26, 7.01,NGC_3293,158.95333,-58.21666999999999
Cl_Collinder_223,446,Collinder_223,286,4.41,1686,-48, 0.26, 7.01,Collinder_223,157.6,-59.816669999999995
NGC_3255,447,NGC_3255,286,0.84,1445,-66, 0.25, 8.30,NGC_3255,156.625,-60.666669999999996
NGC_3324,448,NGC_3324,286,8.09,2317,-8, 0.44, 6.75,NGC_3324,159.325,-58.63333000000001
NAME_Carraro_1,449,Carraro_1,286,2.21,1900,-10, 0.25, 9.48,Carraro_1,159.25,-58.73333
Cl_VDBH_99,450,vdBergh-Hagen_99,286,2.95,507,-6, 0.06, 7.60,vdBergh-Hagen_99,159.475,-59.13333000000001
NGC_3680,451,NGC_3680,286,1.36,938,273, 0.07, 9.08,NGC_3680,171.40833,-43.24333
C_1033-598,452,Bochum_9,286,20.07,4600,-126, 0.63,     ,Bochum_9,158.94042,-60.12611
Cl_Bochum_10,453,Bochum_10,287,11.79,2027,-11, 0.31, 6.86,Bochum_10,160.55917,-59.145559999999996
ESO_92-18,454,ESO_092-18,287,15.43,10607,-1229, 0.50, 9.02,ESO_092-18,153.725,-64.61667
Cl_Collinder_228,455,Collinder_228,287,8.96,2201,-39, 0.34, 6.83,Collinder_228,160.95,-60.083330000000004
Cl_Trumpler_14,456,Trumpler_14,287,3.97,2733,-28, 0.52, 6.83,Trumpler_14,160.975,-59.55
Cl_Trumpler_15,457,Trumpler_15,287,7.55,1853,-12, 0.43, 6.93,Trumpler_15,161.175,-59.36666999999999
C_1042-593,458,Collinder_232,287,3.49,2996,-27, 0.57, 6.67,Collinder_232,161.2,-59.566669999999995
Cl_Trumpler_16,459,Trumpler_16,287,7.78,2673,-31, 0.49, 6.79,Trumpler_16,161.3,-59.71666999999999
C_1045-598,460,Bochum_11,288,14.73,2412,-36, 0.58, 6.76,Bochum_11,161.81333,-60.0975
Cl_Alessi_5,461,Alessi_5,288,3.82,398,-14, 0.15, 7.60,Alessi_5,160.725,-61.2
Cl_Trumpler_17,462,Trumpler_17,288,3.18,2189,17, 0.60, 7.71,Trumpler_17,164.1,-59.2
Cl_Pismis_17,463,Pismis_17,289,6.12,3504,9, 0.47, 7.02,Pismis_17,165.26667,-59.81833
Cl_Ruprecht_92,464,Ruprecht_92,289,4.81,2362,-82, 0.46, 7.80,Ruprecht_92,163.3,-61.71666999999999
NGC_3496,465,NGC_3496,289,2.3,990,-7, 0.47, 8.47,NGC_3496,164.9,-60.38333000000001
NGC_3532,466,NGC_3532,289,7.07,486,11, 0.04, 8.49,NGC_3532,166.3875,-58.73
IC_2602,467,IC_2602,289,4.68,161,-14, 0.02, 7.51,IC_2602,160.8,-64.4
Cl_Sher_1,468,Sher_1,289,1.71,5875,-25, 1.37, 6.71,Sher_1,165.025,-60.36666999999999
C_1055-614,469,Bochum_12,289,6.45,2218,-69, 0.24, 7.61,Bochum_12,164.34583,-61.735
Cl_Melotte_101,470,Melotte_101,289,8.7,1995,-193, 0.48, 7.89,Melotte_101,160.55,-65.1
Cl_Feinstein_1,471,Feinstein_1,290,8.43,1159,8, 0.40, 7.00,Feinstein_1,166.47958,-59.81166999999999
Cl_Ruprecht_93,472,Ruprecht_93,290,2.93,1437,-28, 0.23, 8.19,Ruprecht_93,166.1,-61.36666999999999
C_1110-586,473,Stock_13,290,2.29,1577,44, 0.22, 7.22,Stock_13,168.275,-58.88333000000001
NGC_3572,474,NGC_3572,290,2.9,1995,7, 0.39, 6.89,NGC_3572,167.6,-60.25
Cl_Hogg_10,475,Hogg_10,290,1.55,1776,2, 0.46, 6.78,Hogg_10,167.675,-60.36666999999999
Cl_Collinder_240,476,Collinder_240,290,9.17,1577,5, 0.31, 7.16,Collinder_240,167.8,-60.28333000000001
Cl_Hogg_11,477,Hogg_11,290,1.32,2277,5, 0.32, 7.08,Hogg_11,167.88333,-60.371669999999995
Cl_Trumpler_18,478,Trumpler_18,290,1.98,1358,-3, 0.32, 7.19,Trumpler_18,167.875,-60.666669999999996
NGC_3590,479,NGC_3590,291,1.44,1651,-5, 0.45, 7.23,NGC_3590,168.25,-60.78333000000001
NGC_3603,480,NGC_3603,291,0.53,3634,-33, 1.34, 6.84,NGC_3603,168.78791999999999,-61.271390000000004
IC_2714,481,IC_2714,292,5.04,1238,-39, 0.34, 8.54,IC_2714,169.375,-62.73333
Mamajek_1,482,Mamajek_1,292,1.13,97,-36, 0.00, 6.90,Mamajek_1,130.525,-79.02667
Cl_Melotte_105,483,Melotte_105,292,3.21,2208,-93, 0.48, 8.32,Melotte_105,169.875,-63.5
ESO_93-8,484,ESO_093-08,293,3.99,13700,-965, 0.64, 9.65,ESO_093-08,169.92458,-65.21972
NGC_3766,485,NGC_3766,294,2.54,1745,-1, 0.18, 7.16,NGC_3766,174.05542,-61.615280000000006
NGC_3960,486,NGC_3960,294,3.28,2258,243, 0.30, 8.82,NGC_3960,177.725,-55.7
IC_2944,487,IC_2944,294,18.26,1794,-52, 0.32, 6.82,IC_2944,174.585,-63.372780000000006
C_1141-622,488,Stock_14,295,3.75,2146,-25, 0.22, 7.06,Stock_14,175.95,-62.51667
Ruprecht_97,489,Ruprecht_97,296,1.97,1357,-12, 0.23, 8.34,Ruprecht_97,179.325,-62.65
NGC_4052,490,NGC_4052,297,3.17,1209,-19, 0.16, 8.50,NGC_4052,180.3,-63.21666999999999
C_1155-642,491,Ruprecht_98,297,2.01,494,-20, 0.16, 8.51,Ruprecht_98,179.65,-64.55833
NGC_4103,492,NGC_4103,297,2.85,1632,33, 0.29, 7.39,NGC_4103,181.67792,-61.25583
[SSW94]_d,493,Saurer_4,298,3.24,6190,-112, 1.24, 9.18,Saurer_4,183.525,-63.6
NGC_4337,494,NGC_4337,299,0.57,489,39, 0.15, 8.45,NGC_4337,186.02083000000002,-58.121669999999995
NGC_4349,495,NGC_4349,299,3.16,2176,32, 0.38, 8.32,NGC_4349,186.05,-61.86666999999999
Cl_Collinder_258,496,Collinder_258,299,1.72,1184,41, 0.16, 8.03,Collinder_258,186.81667,-60.78
C_1225-595,497,Hogg_14,300,0.85,969,49, 0.23, 8.10,Hogg_14,187.1625,-59.8
NGC_4439,498,NGC_4439,300,2.08,1785,82, 0.35, 7.91,NGC_4439,187.1,-60.1
NGC_4463,499,NGC_4463,300,1.07,1050,-37, 0.43, 7.50,NGC_4463,187.5,-64.78333
Cl_Collinder_261,500,Collinder_261,301,5.73,2190,-211, 0.27, 9.95,Collinder_261,189.475,-68.46667
NGC_4609,501,NGC_4609,301,1.42,1223,-3, 0.33, 7.89,NGC_4609,190.575,-62.98333
